Approved symbol	Approved name	Ensembl gene ID
RNVU1-6	RNA, variant U1 small nuclear 6	ENSG00000201558
RNVU1-7	RNA, variant U1 small nuclear 7	ENSG00000206585
RNVU1-8	RNA, variant U1 small nuclear 8	
RNVU1-9	symbol withdrawn, see [HGNC:37500](/data/gene-symbol-report/#!/hgnc_id/HGNC:37500)	
RNVU1-10	symbol withdrawn, see [HGNC:10133](/data/gene-symbol-report/#!/hgnc_id/HGNC:10133)	
RNVU1-11	symbol withdrawn, see [HGNC:48308](/data/gene-symbol-report/#!/hgnc_id/HGNC:48308)	
RNVU1-12	symbol withdrawn, see [HGNC:48311](/data/gene-symbol-report/#!/hgnc_id/HGNC:48311)	
RNVU1-13	symbol withdrawn, see [HGNC:48324](/data/gene-symbol-report/#!/hgnc_id/HGNC:48324)	
RNVU1-14	RNA, variant U1 small nuclear 14	ENSG00000207501
RNVU1-15	RNA, variant U1 small nuclear 15	ENSG00000207205
RNVU1-16	symbol withdrawn, see [HGNC:48320](/data/gene-symbol-report/#!/hgnc_id/HGNC:48320)	
RNVU1-17	RNA, variant U1 small nuclear 17	ENSG00000207349
RNVU1-18	RNA, variant U1 small nuclear 18	ENSG00000206737
RNVU1-19	RNA, variant U1 small nuclear 19	ENSG00000275538
RNVU1-20	RNA, variant U1 small nuclear 20	
RNVU1-21	RNA, variant U1 small nuclear 21	ENSG00000202408
RNVU1-22	RNA, variant U1 small nuclear 22	ENSG00000199879
RNVU1-23	RNA, variant U1 small nuclear 23	ENSG00000252826
RNVU1-24	RNA, variant U1 small nuclear 24	ENSG00000201699
RNVU1-25	RNA, variant U1 small nuclear 25	ENSG00000274428
RNVU1-26	RNA, variant U1 small nuclear 26	ENSG00000275291
RNVU1-27	RNA, variant U1 small nuclear 27	ENSG00000274210
RNVU1-28	RNA, variant U1 small nuclear 28	ENSG00000277918
RNVU1-29	RNA, variant U1 small nuclear 29	ENSG00000273768
RNVU1-30	RNA, variant U1 small nuclear 30	ENSG00000206828
RNVU1-31	RNA, variant U1 small nuclear 31	ENSG00000270722
RNVU1-32	RNA, variant U1 small nuclear 32	ENSG00000207110
RNVU1-33	RNA, variant U1 small nuclear 33	ENSG00000200597
RNVU1-34	RNA, variant U1 small nuclear 34	ENSG00000200997
RNY1	RNA, Ro60-associated Y1	ENSG00000201098
RNY1P1	RNY1 pseudogene 1	ENSG00000201242
RNY1P2	RNY1 pseudogene 2	ENSG00000201690
RNY1P3	RNY1 pseudogene 3	ENSG00000223158
RNY1P4	RNY1 pseudogene 4	ENSG00000207325
RNY1P5	RNY1 pseudogene 5	ENSG00000206617
RNY1P6	RNY1 pseudogene 6	ENSG00000206920
RNY1P7	RNY1 pseudogene 7	ENSG00000207474
RNY1P8	RNY1 pseudogene 8	ENSG00000206697
RNY1P9	RNY1 pseudogene 9	ENSG00000255156
RNY1P10	RNY1 pseudogene 10	ENSG00000200138
RNY1P11	RNY1 pseudogene 11	ENSG00000200629
RNY1P12	RNY1 pseudogene 12	ENSG00000201121
RNY1P13	RNY1 pseudogene 13	ENSG00000201900
RNY1P14	RNY1 pseudogene 14	ENSG00000207155
RNY1P15	RNY1 pseudogene 15	ENSG00000222351
RNY1P16	RNY1 pseudogene 16	ENSG00000199933
RNY3	RNA, Ro60-associated Y3	ENSG00000202354
RNY3P1	RNY3 pseudogene 1	ENSG00000201955
RNY3P2	RNY3 pseudogene 2	ENSG00000199788
RNY3P3	RNY3 pseudogene 3	ENSG00000200686
RNY3P4	RNY3 pseudogene 4	ENSG00000207157
RNY3P5	RNY3 pseudogene 5	ENSG00000206854
RNY3P6	RNY3 pseudogene 6	
RNY3P7	RNY3 pseudogene 7	ENSG00000206800
RNY3P8	RNY3 pseudogene 8	ENSG00000223298
RNY3P9	RNY3 pseudogene 9	ENSG00000207458
RNY3P10	RNY3 pseudogene 10	ENSG00000207495
RNY3P11	RNY3 pseudogene 11	ENSG00000201023
RNY3P12	RNY3 pseudogene 12	ENSG00000202297
RNY3P13	RNY3 pseudogene 13	ENSG00000202412
RNY3P14	RNY3 pseudogene 14	ENSG00000207036
RNY3P15	RNY3 pseudogene 15	ENSG00000252106
RNY3P16	RNY3 pseudogene 16	ENSG00000252147
RNY4	RNA, Ro60-associated Y4	ENSG00000252316
RNY4P1	RNY4 pseudogene 1	
RNY4P2	RNY4 pseudogene 2	
RNY4P3	RNY4 pseudogene 3	ENSG00000202124
RNY4P4	RNY4 pseudogene 4	
RNY4P5	RNY4 pseudogene 5	
RNY4P6	RNY4 pseudogene 6	ENSG00000200537
RNY4P7	RNY4 pseudogene 7	ENSG00000201470
RNY4P8	RNY4 pseudogene 8	
RNY4P9	RNY4 pseudogene 9	ENSG00000200064
RNY4P10	RNY4 pseudogene 10	ENSG00000202441
RNY4P11	RNY4 pseudogene 11	
RNY4P12	RNA, Ro-associated Y4 pseudogene 12	
RNY4P13	RNY4 pseudogene 13	ENSG00000207011
RNY4P14	RNY4 pseudogene 14	ENSG00000200526
RNY4P15	RNY4 pseudogene 15	
RNY4P16	RNY4 pseudogene 16	ENSG00000201638
RNY4P17	RNY4 pseudogene 17	ENSG00000201818
RNY4P18	RNY4 pseudogene 18	ENSG00000212409
RNY4P19	RNY4 pseudogene 19	ENSG00000199400
RNY4P20	RNY4 pseudogene 20	ENSG00000252487
RNY4P21	RNY4 pseudogene 21	
RNY4P22	RNY4 pseudogene 22	
RNY4P23	RNY4 pseudogene 23	ENSG00000201377
RNY4P24	RNY4 pseudogene 24	ENSG00000199605
RNY4P25	RNY4 pseudogene 25	ENSG00000238711
RNY4P26	RNY4 pseudogene 26	
RNY4P27	RNY4 pseudogene 27	ENSG00000200211
RNY4P28	RNY4 pseudogene 28	ENSG00000202151
RNY4P29	RNY4 pseudogene 29	ENSG00000222733
RNY4P30	RNY4 pseudogene 30	ENSG00000222148
RNY4P31	RNY4 pseudogene 31	
RNY4P32	RNA, Ro-associated Y4 pseudogene 32	
RNY4P33	RNA, Ro-associated Y4 pseudogene 33	
RNY4P34	RNY4 pseudogene 34	ENSG00000201649
RNY4P35	RNA, Ro-associated Y4 pseudogene 35	
RNY4P36	RNY4 pseudogene 36	ENSG00000212418
RNY4P37	RNY4 pseudogene 37	ENSG00000252034
RNY5	RNA, Ro60-associated Y5	
RNY5P1	RNY5 pseudogene 1	
RNY5P2	RNY5 pseudogene 2	
RNY5P3	RNY5 pseudogene 3	
RNY5P4	RNY5 pseudogene 4	
RNY5P5	RNY5 pseudogene 5	
RNY5P6	RNY5 pseudogene 6	
RNY5P7	RNY5 pseudogene 7	
RNY5P8	RNY5 pseudogene 8	
RNY5P9	RNY5 pseudogene 9	
RNY5P10	RNY5 pseudogene 10	
RO60	Ro60, Y RNA binding protein	ENSG00000116747
ROBO1	roundabout guidance receptor 1	ENSG00000169855
ROBO2	roundabout guidance receptor 2	ENSG00000185008
ROBO2P1	roundabout guidance receptor 2 pseudogene 1	ENSG00000229478
ROBO3	roundabout guidance receptor 3	ENSG00000154134
ROBO4	roundabout guidance receptor 4	ENSG00000154133
ROCK1	Rho associated coiled-coil containing protein kinase 1	ENSG00000067900
ROCK1P1	Rho associated coiled-coil containing protein kinase 1 pseudogene 1	ENSG00000263006
ROCK2	Rho associated coiled-coil containing protein kinase 2	ENSG00000134318
ROCR	regulator of chondrogenesis RNA	ENSG00000228639
ROGDI	rogdi atypical leucine zipper	ENSG00000067836
ROM1	retinal outer segment membrane protein 1	ENSG00000149489
ROMO1	reactive oxygen species modulator 1	ENSG00000125995
RONU	symbol withdrawn, see [HGNC:12765](/data/gene-symbol-report/#!/hgnc_id/HGNC:12765)	
ROPN1	rhophilin associated tail protein 1	ENSG00000065371
ROPN1B	rhophilin associated tail protein 1B	ENSG00000114547
ROPN1L	rhophilin associated tail protein 1 like	ENSG00000145491
ROPN1L-AS1	ROPN1L antisense RNA 1	ENSG00000250600
ROR1	receptor tyrosine kinase like orphan receptor 1	ENSG00000185483
ROR1-AS1	ROR1 antisense RNA 1	ENSG00000223949
ROR2	receptor tyrosine kinase like orphan receptor 2	ENSG00000169071
RORA	RAR related orphan receptor A	ENSG00000069667
RORA-AS1	RORA antisense RNA 1	ENSG00000245534
RORA-AS2	RORA antisense RNA 2	ENSG00000259482
RORB	RAR related orphan receptor B	ENSG00000198963
RORB-AS1	RORB antisense RNA 1	ENSG00000224825
RORC	RAR related orphan receptor C	ENSG00000143365
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	ENSG00000047936
RP	symbol withdrawn, see [HGNC:7414](/data/gene-symbol-report/#!/hgnc_id/HGNC:7414)	
RP1	RP1 axonemal microtubule associated	ENSG00000104237
RP1L1	RP1 like 1	ENSG00000183638
RP2	RP2 activator of ARL3 GTPase	ENSG00000102218
RP3	symbol withdrawn, see [HGNC:10295](/data/gene-symbol-report/#!/hgnc_id/HGNC:10295)	
RP4	symbol withdrawn, see [HGNC:10012](/data/gene-symbol-report/#!/hgnc_id/HGNC:10012)	
RP5	retinitis pigmentosa 5	
RP6	retinitis pigmentosa 6 (X-linked recessive)	
RP7	symbol withdrawn, see [HGNC:9942](/data/gene-symbol-report/#!/hgnc_id/HGNC:9942)	
RP9	RP9 pre-mRNA splicing factor	ENSG00000164610
RP9P	RP9 pseudogene	ENSG00000205763
RP10	symbol withdrawn, see [HGNC:6052](/data/gene-symbol-report/#!/hgnc_id/HGNC:6052)	
RP11	symbol withdrawn, see [HGNC:15446](/data/gene-symbol-report/#!/hgnc_id/HGNC:15446)	
RP12	symbol withdrawn, see [HGNC:2343](/data/gene-symbol-report/#!/hgnc_id/HGNC:2343)	
RP13	symbol withdrawn, see [HGNC:17340](/data/gene-symbol-report/#!/hgnc_id/HGNC:17340)	
RP14	symbol withdrawn, see [HGNC:12423](/data/gene-symbol-report/#!/hgnc_id/HGNC:12423)	
RP15	symbol withdrawn, see [HGNC:10295](/data/gene-symbol-report/#!/hgnc_id/HGNC:10295)	
RP16	retinitis pigmentosa 16	
RP17	symbol withdrawn, see [HGNC:1375](/data/gene-symbol-report/#!/hgnc_id/HGNC:1375)	
RP18	symbol withdrawn, see [HGNC:17348](/data/gene-symbol-report/#!/hgnc_id/HGNC:17348)	
RP19	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)	
RP20	symbol withdrawn, see [HGNC:10294](/data/gene-symbol-report/#!/hgnc_id/HGNC:10294)	
RP21	retinitis pigmentosa 21	
RP22	retinitis pigmentosa 22 (autosomal recessive)	
RP23	symbol withdrawn, see [HGNC:2567](/data/gene-symbol-report/#!/hgnc_id/HGNC:2567)	
RP24	retinitis pigmentosa 24 (X-linked recessive)	
RP25	symbol withdrawn, see [HGNC:21555](/data/gene-symbol-report/#!/hgnc_id/HGNC:21555)	
RP26	symbol withdrawn, see [HGNC:21699](/data/gene-symbol-report/#!/hgnc_id/HGNC:21699)	
RP28	symbol withdrawn, see [HGNC:25808](/data/gene-symbol-report/#!/hgnc_id/HGNC:25808)	
RP29	retinitis pigmentosa 29 (autosomal recessive)	
RP31	symbol withdrawn, see [HGNC:21653](/data/gene-symbol-report/#!/hgnc_id/HGNC:21653)	
RP32	retinitis pigmentosa 32 (autosomal recessive)	
RP33	symbol withdrawn, see [HGNC:30859](/data/gene-symbol-report/#!/hgnc_id/HGNC:30859)	
RP34	retinitis pigmentosa 34 (X-linked recessive)	
RP35	retinitis pigmentosa 35 (autosomal dominant)	
RP52	retinitis pigmentosa 52 (autosomal dominant)	
RP63	retinitis pigmentosa 63 (autosomal dominant)	
RP66	symbol withdrawn, see [HGNC:17146](/data/gene-symbol-report/#!/hgnc_id/HGNC:17146)	
RPA1	replication protein A1	ENSG00000132383
RPA2	replication protein A2	ENSG00000117748
RPA2P1	replication protein A2 pseudogene 1	ENSG00000258392
RPA2P2	replication protein A2 pseudogene 2	ENSG00000226466
RPA2P3	replication protein A2 pseudogene 3	ENSG00000255547
RPA3	replication protein A3	ENSG00000106399
RPA3P1	RPA3 pseudogene 1	ENSG00000179997
RPA3P2	RPA3 pseudogene 2	ENSG00000218261
RPA4	replication protein A4	ENSG00000204086
RPAIN	RPA interacting protein	ENSG00000129197
RPAP1	RNA polymerase II associated protein 1	ENSG00000103932
RPAP2	RNA polymerase II associated protein 2	ENSG00000122484
RPAP2P1	RNA polymerase II associated protein 2 pseudogene 1	ENSG00000270874
RPAP3	RNA polymerase II associated protein 3	ENSG00000005175
RPAP3-DT	RPAP3 divergent transcript	ENSG00000257433
RPD3L1	symbol withdrawn, see [HGNC:4852](/data/gene-symbol-report/#!/hgnc_id/HGNC:4852)	
RPE	ribulose-5-phosphate-3-epimerase	ENSG00000197713
RPE65	retinoid isomerohydrolase RPE65	ENSG00000116745
RPEL1	ribulose-5-phosphate-3-epimerase like 1	ENSG00000235376
RPEP1	ribulose-5-phosphate-3-epimerase pseudogene 1	ENSG00000250732
RPEP2	ribulose-5-phosphate-3-epimerase pseudogene 2	ENSG00000234158
RPEP3	ribulose-5-phosphate-3-epimerase pseudogene 3	ENSG00000230833
RPEP4	ribulose-5-phosphate-3-epimerase pseudogene 4	ENSG00000233010
RPEP5	ribulose-5-phosphate-3-epimerase pseudogene 5	ENSG00000234732
RPEP6	ribulose-5-phosphate-3-epimerase pseudogene 6	ENSG00000257075
RPF1	ribosome production factor 1 homolog	ENSG00000117133
RPF2	ribosome production factor 2 homolog	ENSG00000197498
RPF2P1	ribosome production factor 2 homolog pseudogene 1	ENSG00000225357
RPF2P2	ribosome production factor 2 homolog pseudogene 2	ENSG00000250693
RPGR	retinitis pigmentosa GTPase regulator	ENSG00000156313
RPGRIP1	RPGR interacting protein 1	ENSG00000092200
RPGRIP1L	RPGRIP1 like	ENSG00000103494
RPH3A	rabphilin 3A	ENSG00000089169
RPH3AL	rabphilin 3A like (without C2 domains)	ENSG00000181031
RPH3AL-AS1	RPH3AL antisense RNA 1	ENSG00000262061
RPH3AL-AS2	RPH3AL antisense RNA 2	ENSG00000262294
RPIA	ribose 5-phosphate isomerase A	ENSG00000153574
RPIAP1	ribose 5-phosphate isomerase A pseudogene 1	ENSG00000267597
RPL3	ribosomal protein L3	ENSG00000100316
RPL3L	ribosomal protein L3 like	ENSG00000140986
RPL3P1	ribosomal protein L3 pseudogene 1	ENSG00000228149
RPL3P2	ribosomal protein L3 pseudogene 2	ENSG00000227939
RPL3P3	ribosomal protein L3 pseudogene 3	ENSG00000243388
RPL3P4	ribosomal protein L3 pseudogene 4	ENSG00000232573
RPL3P5	ribosomal protein L3 pseudogene 5	ENSG00000231546
RPL3P6	ribosomal protein L3 pseudogene 6	ENSG00000213891
RPL3P7	ribosomal protein L3 pseudogene 7	ENSG00000225093
RPL3P8	ribosomal protein L3 pseudogene 8	ENSG00000232199
RPL3P9	ribosomal protein L3 pseudogene 9	ENSG00000240540
RPL3P10	ribosomal protein L3 pseudogene 10	ENSG00000243095
RPL3P11	ribosomal protein L3 pseudogene 11	ENSG00000223568
RPL3P12	ribosomal protein L3 pseudogene 12	ENSG00000232496
RPL3P13	ribosomal protein L3 pseudogene 13	ENSG00000258013
RPL4	ribosomal protein L4	ENSG00000174444
RPL4P1	ribosomal protein L4 pseudogene 1	ENSG00000240954
RPL4P2	ribosomal protein L4 pseudogene 2	ENSG00000232341
RPL4P3	ribosomal protein L4 pseudogene 3	ENSG00000230364
RPL4P4	ribosomal protein L4 pseudogene 4	ENSG00000229638
RPL4P5	ribosomal protein L4 pseudogene 5	ENSG00000230207
RPL4P6	ribosomal protein L4 pseudogene 6	ENSG00000230071
RPL4P7	ribosomal protein L4 pseudogene 7	ENSG00000224442
RPL5	ribosomal protein L5	ENSG00000122406
RPL5P1	ribosomal protein L5 pseudogene 1	ENSG00000241061
RPL5P2	ribosomal protein L5 pseudogene 2	ENSG00000237068
RPL5P3	ribosomal protein L5 pseudogene 3	ENSG00000242276
RPL5P4	ribosomal protein L5 pseudogene 4	ENSG00000229994
RPL5P5	ribosomal protein L5 pseudogene 5	ENSG00000213051
RPL5P6	ribosomal protein L5 pseudogene 6	ENSG00000232393
RPL5P7	ribosomal protein L5 pseudogene 7	ENSG00000234415
RPL5P8	ribosomal protein L5 pseudogene 8	ENSG00000213917
RPL5P9	ribosomal protein L5 pseudogene 9	ENSG00000236330
RPL5P10	ribosomal protein L5 pseudogene 10	ENSG00000234067
RPL5P11	ribosomal protein L5 pseudogene 11	ENSG00000242882
RPL5P12	ribosomal protein L5 pseudogene 12	ENSG00000242697
RPL5P13	ribosomal protein L5 pseudogene 13	ENSG00000242134
RPL5P14	ribosomal protein L5 pseudogene 14	ENSG00000243914
RPL5P15	ribosomal protein L5 pseudogene 15	ENSG00000240412
RPL5P16	ribosomal protein L5 pseudogene 16	ENSG00000240411
RPL5P17	ribosomal protein L5 pseudogene 17	ENSG00000243859
RPL5P18	ribosomal protein L5 pseudogene 18	ENSG00000220744
RPL5P19	ribosomal protein L5 pseudogene 19	ENSG00000220553
RPL5P20	ribosomal protein L5 pseudogene 20	ENSG00000218643
RPL5P21	ribosomal protein L5 pseudogene 21	ENSG00000218689
RPL5P22	ribosomal protein L5 pseudogene 22	ENSG00000239198
RPL5P23	ribosomal protein L5 pseudogene 23	ENSG00000240395
RPL5P24	ribosomal protein L5 pseudogene 24	ENSG00000244052
RPL5P25	ribosomal protein L5 pseudogene 25	ENSG00000225251
RPL5P26	ribosomal protein L5 pseudogene 26	ENSG00000230469
RPL5P27	ribosomal protein L5 pseudogene 27	ENSG00000228195
RPL5P28	ribosomal protein L5 pseudogene 28	ENSG00000235264
RPL5P29	ribosomal protein L5 pseudogene 29	ENSG00000242208
RPL5P30	ribosomal protein L5 pseudogene 30	ENSG00000243431
RPL5P31	ribosomal protein L5 pseudogene 31	ENSG00000214878
RPL5P32	ribosomal protein L5 pseudogene 32	ENSG00000228992
RPL5P33	ribosomal protein L5 pseudogene 33	ENSG00000243521
RPL5P34	ribosomal protein L5 pseudogene 34	ENSG00000234009
RPL5P35	ribosomal protein L5 pseudogene 35	ENSG00000214727
RPL6	ribosomal protein L6	ENSG00000089009
RPL6P1	ribosomal protein L6 pseudogene 1	ENSG00000236111
RPL6P2	ribosomal protein L6 pseudogene 2	ENSG00000227056
RPL6P3	ribosomal protein L6 pseudogene 3	ENSG00000229022
RPL6P4	ribosomal protein L6 pseudogene 4	ENSG00000226080
RPL6P5	ribosomal protein L6 pseudogene 5	ENSG00000214064
RPL6P6	ribosomal protein L6 pseudogene 6	ENSG00000231063
RPL6P7	ribosomal protein L6 pseudogene 7	ENSG00000239212
RPL6P8	ribosomal protein L6 pseudogene 8	ENSG00000242285
RPL6P9	ribosomal protein L6 pseudogene 9	ENSG00000242390
RPL6P10	ribosomal protein L6 pseudogene 10	ENSG00000243199
RPL6P11	ribosomal protein L6 pseudogene 11	ENSG00000250475
RPL6P12	ribosomal protein L6 pseudogene 12	ENSG00000214671
RPL6P13	ribosomal protein L6 pseudogene 13	ENSG00000243312
RPL6P14	ribosomal protein L6 pseudogene 14	ENSG00000244470
RPL6P15	ribosomal protein L6 pseudogene 15	ENSG00000240611
RPL6P16	ribosomal protein L6 pseudogene 16	ENSG00000240159
RPL6P17	ribosomal protein L6 pseudogene 17	ENSG00000216754
RPL6P18	ribosomal protein L6 pseudogene 18	ENSG00000218476
RPL6P19	ribosomal protein L6 pseudogene 19	ENSG00000230383
RPL6P20	ribosomal protein L6 pseudogene 20	ENSG00000236976
RPL6P21	ribosomal protein L6 pseudogene 21	ENSG00000223445
RPL6P22	ribosomal protein L6 pseudogene 22	ENSG00000240738
RPL6P23	ribosomal protein L6 pseudogene 23	ENSG00000249510
RPL6P24	ribosomal protein L6 pseudogene 24	ENSG00000227474
RPL6P25	ribosomal protein L6 pseudogene 25	ENSG00000213270
RPL6P26	ribosomal protein L6 pseudogene 26	ENSG00000240305
RPL6P27	ribosomal protein L6 pseudogene 27	ENSG00000235552
RPL6P28	ribosomal protein L6 pseudogene 28	ENSG00000223730
RPL6P29	ribosomal protein L6 pseudogene 29	ENSG00000236243
RPL6P30	ribosomal protein L6 pseudogene 30	ENSG00000215313
RPL6P31	ribosomal protein L6 pseudogene 31	ENSG00000223945
RPL6P32	ribosomal protein L6 pseudogene 32	ENSG00000253646
RPL7	ribosomal protein L7	ENSG00000147604
RPL7A	ribosomal protein L7a	ENSG00000148303
RPL7AL1	ribosomal protein L7A-like 1, G1-phase expressed	
RPL7AP1	ribosomal protein L7a pseudogene 1	
RPL7AP2	ribosomal protein L7a pseudogene 2	ENSG00000241984
RPL7AP3	ribosomal protein L7a pseudogene 3	ENSG00000256243
RPL7AP4	ribosomal protein L7a pseudogene 4	ENSG00000213641
RPL7AP5	ribosomal protein L7a pseudogene 5	ENSG00000240210
RPL7AP6	ribosomal protein L7a pseudogene 6	ENSG00000242071
RPL7AP7	ribosomal protein L7a pseudogene 7	ENSG00000213880
RPL7AP8	ribosomal protein L7a pseudogene 8	ENSG00000230507
RPL7AP9	ribosomal protein L7a pseudogene 9	ENSG00000213272
RPL7AP10	ribosomal protein L7a pseudogene 10	ENSG00000240522
RPL7AP11	ribosomal protein L7a pseudogene 11	ENSG00000242445
RPL7AP12	ribosomal protein L7a pseudogene 12	ENSG00000228210
RPL7AP13	ribosomal protein L7a pseudogene 13	ENSG00000235208
RPL7AP14	ribosomal protein L7a pseudogene 14	ENSG00000213979
RPL7AP15	ribosomal protein L7a pseudogene 15	ENSG00000236806
RPL7AP16	ribosomal protein L7a pseudogene 16	ENSG00000234329
RPL7AP17	ribosomal protein L7a pseudogene 17	ENSG00000213421
RPL7AP18	ribosomal protein L7a pseudogene 18	ENSG00000232848
RPL7AP19	ribosomal protein L7a pseudogene 19	ENSG00000227777
RPL7AP20	ribosomal protein L7a pseudogene 20	ENSG00000234981
RPL7AP21	ribosomal protein L7a pseudogene 21	ENSG00000229757
RPL7AP22	ribosomal protein L7a pseudogene 22	ENSG00000227331
RPL7AP23	ribosomal protein L7a pseudogene 23	ENSG00000241367
RPL7AP24	ribosomal protein L7a pseudogene 24	ENSG00000241307
RPL7AP25	ribosomal protein L7a pseudogene 25	ENSG00000235294
RPL7AP26	ribosomal protein L7a pseudogene 26	ENSG00000214988
RPL7AP27	ribosomal protein L7a pseudogene 27	ENSG00000242169
RPL7AP28	ribosomal protein L7a pseudogene 28	ENSG00000184139
RPL7AP29	ribosomal protein L7a pseudogene 29	ENSG00000248843
RPL7AP30	ribosomal protein L7a pseudogene 30	ENSG00000241741
RPL7AP31	ribosomal protein L7a pseudogene 31	ENSG00000242083
RPL7AP32	ribosomal protein L7a pseudogene 32	ENSG00000243160
RPL7AP33	ribosomal protein L7a pseudogene 33	ENSG00000254200
RPL7AP34	ribosomal protein L7a pseudogene 34	ENSG00000213312
RPL7AP35	ribosomal protein L7a pseudogene 35	ENSG00000216639
RPL7AP36	ribosomal protein L7a pseudogene 36	ENSG00000216368
RPL7AP37	ribosomal protein L7a pseudogene 37	ENSG00000213109
RPL7AP38	ribosomal protein L7a pseudogene 38	ENSG00000213787
RPL7AP39	ribosomal protein L7a pseudogene 39	ENSG00000213385
RPL7AP40	ribosomal protein L7a pseudogene 40	ENSG00000224475
RPL7AP41	ribosomal protein L7a pseudogene 41	ENSG00000213798
RPL7AP42	ribosomal protein L7a pseudogene 42	ENSG00000234358
RPL7AP43	ribosomal protein L7a pseudogene 43	ENSG00000213542
RPL7AP44	ribosomal protein L7a pseudogene 44	ENSG00000231562
RPL7AP45	ribosomal protein L7a pseudogene 45	ENSG00000275160
RPL7AP46	ribosomal protein L7a pseudogene 46	ENSG00000233555
RPL7AP47	ribosomal protein L7a pseudogene 47	ENSG00000234982
RPL7AP48	ribosomal protein L7a pseudogene 48	ENSG00000237088
RPL7AP49	ribosomal protein L7a pseudogene 49	ENSG00000184961
RPL7AP50	ribosomal protein L7a pseudogene 50	ENSG00000213609
RPL7AP51	ribosomal protein L7a pseudogene 51	ENSG00000226448
RPL7AP52	ribosomal protein L7a pseudogene 52	ENSG00000225354
RPL7AP53	ribosomal protein L7a pseudogene 53	ENSG00000235962
RPL7AP54	ribosomal protein L7a pseudogene 54	ENSG00000242279
RPL7AP55	ribosomal protein L7a pseudogene 55	ENSG00000241008
RPL7AP56	ribosomal protein L7a pseudogene 56	ENSG00000242834
RPL7AP57	ribosomal protein L7a pseudogene 57	ENSG00000242248
RPL7AP58	ribosomal protein L7a pseudogene 58	ENSG00000240554
RPL7AP59	symbol withdrawn, see [HGNC:32398](/data/gene-symbol-report/#!/hgnc_id/HGNC:32398)	
RPL7AP60	ribosomal protein L7a pseudogene 60	ENSG00000213152
RPL7AP61	ribosomal protein L7a pseudogene 61	ENSG00000233291
RPL7AP62	ribosomal protein L7a pseudogene 62	ENSG00000213862
RPL7AP63	ribosomal protein L7a pseudogene 63	ENSG00000243697
RPL7AP64	ribosomal protein L7a pseudogene 64	ENSG00000213876
RPL7AP65	ribosomal protein L7a pseudogene 65	ENSG00000228000
RPL7AP66	ribosomal protein L7a pseudogene 66	ENSG00000175886
RPL7AP67	ribosomal protein L7a pseudogene 67	ENSG00000239683
RPL7AP68	symbol withdrawn, see [HGNC:32433](/data/gene-symbol-report/#!/hgnc_id/HGNC:32433)	
RPL7AP69	ribosomal protein L7a pseudogene 69	ENSG00000268483
RPL7AP70	ribosomal protein L7a pseudogene 70	ENSG00000235776
RPL7AP71	ribosomal protein L7a pseudogene 71	ENSG00000234566
RPL7AP72	ribosomal protein L7a pseudogene 72	ENSG00000235735
RPL7AP73	ribosomal protein L7a pseudogene 73	ENSG00000237952
RPL7AP74	ribosomal protein L7a pseudogene 74	ENSG00000255991
RPL7AP75	ribosomal protein L7a pseudogene 75	ENSG00000259674
RPL7AP76	ribosomal protein L7a pseudogene 76	ENSG00000231995
RPL7AP77	ribosomal protein L7a pseudogene 77	ENSG00000225005
RPL7AP78	ribosomal protein L7a pseudogene 78	ENSG00000224573
RPL7AP79	ribosomal protein L7a pseudogene 79	ENSG00000255106
RPL7AP80	ribosomal protein L7a pseudogene 80	ENSG00000253332
RPL7AP81	ribosomal protein L7a pseudogene 81	ENSG00000235163
RPL7AP82	ribosomal protein L7a pseudogene 82	ENSG00000228955
RPL7AP83	ribosomal protein L7a pseudogene 83	ENSG00000229339
RPL7L1	ribosomal protein L7 like 1	ENSG00000146223
RPL7L1P1	RPL7L1 pseudogene 1	ENSG00000234227
RPL7L1P2	RPL7L1 pseudogene 2	ENSG00000231490
RPL7L1P3	RPL7L1 pseudogene 3	ENSG00000235090
RPL7L1P4	RPL7L1 pseudogene 4	ENSG00000249582
RPL7L1P5	RPL7L1 pseudogene 5	ENSG00000267634
RPL7L1P6	RPL7L1 pseudogene 6	
RPL7L1P7	RPL7L1 pseudogene 7	ENSG00000251137
RPL7L1P8	RPL7L1 pseudogene 8	ENSG00000228766
RPL7L1P9	RPL7L1 pseudogene 9	ENSG00000231035
RPL7L1P10	RPL7L1 pseudogene 10	ENSG00000237322
RPL7L1P11	RPL7L1 pseudogene 11	ENSG00000176970
RPL7L1P12	RPL7L1 pseudogene 12	ENSG00000231981
RPL7L1P13	RPL7L1 pseudogene 13	ENSG00000251464
RPL7L1P14	RPL7L1 pseudogene 14	ENSG00000250403
RPL7L1P15	RPL7L1 pseudogene 15	ENSG00000259208
RPL7L1P16	RPL7L1 pseudogene 16	ENSG00000260494
RPL7L1P17	RPL7L1 pseudogene 17	ENSG00000255361
RPL7L1P18	RPL7L1 pseudogene 18	ENSG00000253114
RPL7L1P19	RPL7L1 pseudogene 19	ENSG00000262316
RPL7L1P20	RPL7L1 pseudogene 20	ENSG00000216781
RPL7L1P21	RPL7L1 pseudogene 21	ENSG00000226483
RPL7L1P22	RPL7L1 pseudogene 22	ENSG00000231349
RPL7P1	ribosomal protein L7 pseudogene 1	ENSG00000214485
